#Saved Data from the class pulsed_measurement_logic_clone on 10.02.2023 at 18h26m17s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 6.3086361312866211e+02
#Measurement sweeps: -1
#Number of laser pulses: 600
#Laser ignore indices: []
#alternating: False
#analysis parameters: {'signal_start': 0.0, 'signal_end': 3.7200000000000005e-07, 'method': 'sum'}
#extraction parameters: {'conv_std_dev': 20.0, 'flank_width': 0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 1e-09, 'record_length': 3.5e-06, 'number_of_gates': 600, 'is_gated': True}
#
#Data:
#=====
#Controlled variable(s)	Signal
4.840000000000000e-06	3.544000000000000e+03
4.850000000000000e-06	3.244000000000000e+03
4.860000000000000e-06	3.035000000000000e+03
4.870000000000000e-06	3.133000000000000e+03
4.880000000000000e-06	3.019000000000000e+03
4.890000000000000e-06	3.245000000000000e+03
4.900000000000000e-06	3.337000000000000e+03
4.910000000000000e-06	3.511000000000000e+03
4.920000000000000e-06	3.642000000000000e+03
4.930000000000000e-06	3.551000000000000e+03
4.940000000000000e-06	3.137000000000000e+03
4.950000000000000e-06	3.106000000000000e+03
4.960000000000000e-06	3.161000000000000e+03
4.970000000000000e-06	3.051000000000000e+03
4.980000000000000e-06	3.074000000000000e+03
4.990000000000000e-06	3.497000000000000e+03
5.000000000000000e-06	3.494000000000000e+03
5.010000000000000e-06	3.502000000000000e+03
5.020000000000000e-06	3.507000000000000e+03
5.030000000000000e-06	3.516000000000000e+03
5.040000000000000e-06	3.229000000000000e+03
5.050000000000000e-06	3.083000000000000e+03
5.060000000000000e-06	3.069000000000000e+03
5.070000000000000e-06	3.108000000000000e+03
5.080000000000000e-06	3.339000000000000e+03
5.090000000000000e-06	3.503000000000000e+03
5.100000000000000e-06	3.522000000000000e+03
5.110000000000000e-06	3.530000000000000e+03
5.120000000000000e-06	3.449000000000000e+03
5.130000000000000e-06	3.145000000000000e+03
5.140000000000000e-06	3.048000000000000e+03
5.150000000000000e-06	2.996000000000000e+03
5.160000000000000e-06	3.115000000000000e+03
5.170000000000000e-06	3.160000000000000e+03
5.180000000000000e-06	3.503000000000000e+03
5.190000000000000e-06	3.769000000000000e+03
5.200000000000000e-06	3.585000000000000e+03
5.210000000000000e-06	3.413000000000000e+03
5.220000000000000e-06	3.230000000000000e+03
5.230000000000000e-06	3.048000000000000e+03
5.240000000000000e-06	3.168000000000000e+03
5.250000000000000e-06	3.045000000000000e+03
5.260000000000000e-06	3.335000000000000e+03
5.270000000000000e-06	3.576000000000000e+03
5.280000000000000e-06	3.693000000000000e+03
5.290000000000000e-06	3.574000000000000e+03
5.300000000000000e-06	3.503000000000000e+03
5.310000000000000e-06	3.401000000000000e+03
5.320000000000000e-06	2.969000000000000e+03
5.330000000000000e-06	2.966000000000000e+03
5.340000000000000e-06	3.290000000000000e+03
5.350000000000000e-06	3.153000000000000e+03
5.360000000000000e-06	3.454000000000000e+03
5.370000000000000e-06	3.645000000000000e+03
5.380000000000000e-06	3.575000000000000e+03
5.390000000000000e-06	3.565000000000000e+03
5.400000000000000e-06	3.308000000000000e+03
5.410000000000000e-06	3.040000000000000e+03
5.420000000000000e-06	3.093000000000000e+03
5.430000000000000e-06	2.944000000000000e+03
5.440000000000000e-06	3.272000000000000e+03
5.450000000000000e-06	3.406000000000000e+03
5.460000000000000e-06	3.484000000000000e+03
5.470000000000000e-06	3.623000000000000e+03
5.480000000000000e-06	3.535000000000000e+03
5.490000000000000e-06	3.226000000000000e+03
5.500000000000000e-06	3.206000000000000e+03
5.510000000000000e-06	3.026000000000000e+03
5.520000000000000e-06	2.943000000000000e+03
5.530000000000000e-06	3.142000000000000e+03
5.540000000000000e-06	3.526000000000000e+03
5.550000000000000e-06	3.533000000000000e+03
5.560000000000000e-06	3.666000000000000e+03
5.570000000000000e-06	3.633000000000000e+03
5.580000000000000e-06	3.338000000000000e+03
5.590000000000000e-06	3.170000000000000e+03
5.600000000000000e-06	3.133000000000000e+03
5.610000000000000e-06	2.972000000000000e+03
5.620000000000000e-06	3.043000000000000e+03
5.630000000000000e-06	3.175000000000000e+03
5.640000000000000e-06	3.597000000000000e+03
5.650000000000000e-06	3.545000000000000e+03
5.660000000000000e-06	3.561000000000000e+03
